Results Table 1
,Specimen number (included),Specimen label,Diameter,Support span,Maximum Force
,,,(mm),(mm),(N)
"","0.7600","0.1469","-0.0002"
"","0.7800","0.1511","-0.0001"
"","0.8000","0.1552","0.0001"
"","0.8200","0.1592","0.0000"
"","0.8400","0.1632","0.0002"
"","0.8600","0.1671","0.0001"
"","0.8800","0.1712","0.0000"
"","0.9000","0.1755","-0.0001"
"","0.9200","0.1800","-0.0001"
"","0.9400","0.1844","0.0000"
"","0.9600","0.1887","-0.0001"
"","0.9800","0.1930","-0.0001"
"","1.0000","0.1972","0.0000"
"","1.0200","0.2014","0.0003"
"","1.0400","0.2055","0.0002"
"","1.0600","0.2096","0.0000"
"","1.0800","0.2136","0.0000"
"","1.1000","0.2178","0.0002"
"","1.1200","0.2222","0.0001"
"","1.1400","0.2267","-0.0002"
"","1.1600","0.2312","-0.0001"
"","1.1800","0.2357","0.0000"
"","1.2000","0.2400","0.0001"
"","1.2200","0.2442","0.0002"
"","1.2400","0.2483","0.0002"
"","1.2600","0.2524","0.0001"
"","1.2800","0.2565","0.0000"
"","1.3000","0.2605","0.0001"
"","1.3200","0.2644","0.0003"
"","1.3400","0.2685","0.0002"
"","1.3600","0.2728","0.0001"
"","1.3800","0.2772","-0.0001"
"","1.4000","0.2815","-0.0002"
"","1.4200","0.2858","-0.0001"
"","1.4400","0.2901","-0.0001"
"","1.4600","0.2944","-0.0001"
"","1.4800","0.2987","0.0000"
"","1.5000","0.3030","0.0001"
"","1.5200","0.3071","0.0001"
"","1.5400","0.3111","-0.0002"
"","1.5600","0.3152","0.0000"
"","1.5800","0.3196","0.0002"
"","1.6000","0.3240","0.0001"
"","1.6200","0.3285","0.0001"
"","1.6400","0.3330","-0.0001"
"","1.6600","0.3373","0.0000"
"","1.6800","0.3415","-0.0001"
"","1.7000","0.3456","-0.0002"
"","1.7200","0.3496","-0.0001"
"","1.7400","0.3537","0.0000"
"","1.7600","0.3577","0.0000"
"","1.7800","0.3617","-0.0001"
"","1.8000","0.3658","-0.0001"
"","1.8200","0.3701","-0.0002"
"","1.8400","0.3745","0.0001"
"","1.8600","0.3789","0.0002"
"","1.8800","0.3832","0.0002"
"","1.9000","0.3876","0.0002"
"","1.9200","0.3919","0.0000"
"","1.9400","0.3962","-0.0002"
"","1.9600","0.4003","-0.0002"
"","1.9800","0.4044","-0.0002"
"","2.0000","0.4084","0.0002"
"","2.0200","0.4125","0.0000"
"","2.0400","0.4169","-0.0001"
"","2.0600","0.4214","-0.0001"
"","2.0800","0.4260","0.0000"
"","2.1000","0.4305","0.0000"
"","2.1200","0.4347","0.0001"
"","2.1400","0.4389","0.0001"
"","2.1600","0.4430","-0.0001"
"","2.1800","0.4471","-0.0001"
"","2.2000","0.4511","0.0001"
"","2.2200","0.4551","-0.0001"
"","2.2400","0.4591","0.0001"
"","2.2600","0.4634","0.0003"
"","2.2800","0.4677","0.0000"
"","2.3000","0.4721","-0.0001"
"","2.3200","0.4763","0.0023"
"","2.3400","0.4807","0.0084"
"","2.3600","0.4850","0.0169"
"","2.3800","0.4893","0.0259"
"","2.4000","0.4936","0.0351"
"","2.4200","0.4978","0.0444"
"","2.4400","0.5018","0.0535"
"","2.4600","0.5058","0.0630"
"","2.4800","0.5100","0.0730"
"","2.5000","0.5144","0.0837"
"","2.5200","0.5189","0.0953"
"","2.5400","0.5234","0.1069"
"","2.5600","0.5278","0.1184"
"","2.5800","0.5321","0.1297"
"","2.6000","0.5363","0.1409"
"","2.6200","0.5405","0.1524"
"","2.6400","0.5445","0.1635"
"","2.6600","0.5484","0.1744"
"","2.6800","0.5523","0.1853"
"","2.7000","0.5563","0.1967"
"","2.7200","0.5605","0.2088"
"","2.7400","0.5648","0.2210"
"","2.7600","0.5692","0.2334"
"","2.7800","0.5736","0.2466"
"","2.8000","0.5780","0.2592"
"","2.8200","0.5824","0.2720"
"","2.8400","0.5867","0.2850"
"","2.8600","0.5909","0.2976"
"","2.8800","0.5949","0.3096"
"","2.9000","0.5989","0.3216"
"","2.9200","0.6029","0.3338"
"","2.9400","0.6072","0.3464"
"","2.9600","0.6117","0.3599"
"","2.9800","0.6163","0.3740"
"","3.0000","0.6207","0.3878"
"","3.0200","0.6251","0.4013"
"","3.0400","0.6294","0.4145"
"","3.0600","0.6337","0.4272"
"","3.0800","0.6378","0.4396"
"","3.1000","0.6417","0.4521"
"","3.1200","0.6457","0.4643"
"","3.1400","0.6497","0.4767"
"","3.1600","0.6538","0.4897"
"","3.1800","0.6581","0.5033"
"","3.2000","0.6624","0.5172"
"","3.2200","0.6668","0.5309"
"","3.2400","0.6711","0.5446"
"","3.2600","0.6755","0.5584"
"","3.2800","0.6799","0.5721"
"","3.3000","0.6842","0.5860"
"","3.3200","0.6884","0.5995"
"","3.3400","0.6924","0.6123"
"","3.3600","0.6964","0.6248"
"","3.3800","0.7005","0.6377"
"","3.4000","0.7048","0.6514"
"","3.4200","0.7092","0.6658"
"","3.4400","0.7137","0.6803"
"","3.4580","0.7178","0.4633"
81,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0000"
"","0.0200","0.0000","0.0003"
"","0.0400","0.0001","0.0002"
"","0.0600","0.0005","0.0001"
"","0.0800","0.0016","0.0000"
"","0.1000","0.0040","-0.0002"
"","0.1200","0.0069","-0.0006"
"","0.1400","0.0084","-0.0003"
"","0.1600","0.0097","0.0002"
"","0.1800","0.0122","0.0005"
"","0.2000","0.0168","0.0004"
"","0.2200","0.0229","0.0001"
"","0.2400","0.0297","-0.0001"
"","0.2600","0.0364","-0.0004"
"","0.2800","0.0424","-0.0004"
"","0.3000","0.0475","-0.0001"
"","0.3200","0.0519","0.0003"
"","0.3400","0.0559","0.0003"
"","0.3600","0.0597","0.0003"
"","0.3800","0.0635","0.0001"
"","0.4000","0.0672","-0.0002"
"","0.4200","0.0711","-0.0006"
"","0.4400","0.0752","-0.0004"
"","0.4600","0.0795","0.0001"
"","0.4800","0.0840","0.0003"
"","0.5000","0.0885","0.0003"
"","0.5200","0.0929","0.0001"
"","0.5400","0.0972","-0.0001"
"","0.5600","0.1015","-0.0004"
"","0.5800","0.1057","-0.0006"
"","0.6000","0.1099","0.0000"
"","0.6200","0.1139","0.0005"
"","0.6400","0.1180","0.0005"
"","0.6600","0.1221","0.0003"
"","0.6800","0.1264","-0.0002"
"","0.7000","0.1309","-0.0003"
"","0.7200","0.1355","-0.0004"
"","0.7400","0.1399","-0.0002"
"","0.7600","0.1442","0.0003"
"","0.7800","0.1484","0.0004"
"","0.8000","0.1525","0.0002"
"","0.8200","0.1566","0.0000"
"","0.8400","0.1606","-0.0003"
"","0.8600","0.1645","-0.0004"
"","0.8800","0.1685","-0.0002"
"","0.9000","0.1726","0.0004"
"","0.9200","0.1770","0.0005"
"","0.9400","0.1814","0.0005"
"","0.9600","0.1858","0.0002"
"","0.9800","0.1902","-0.0002"
"","1.0000","0.1944","-0.0004"
"","1.0200","0.1986","-0.0005"
"","1.0400","0.2028","-0.0001"
"","1.0600","0.2069","0.0002"
"","1.0800","0.2109","0.0001"
"","1.1000","0.2149","0.0000"
"","1.1200","0.2191","-0.0002"
"","1.1400","0.2235","-0.0004"
"","1.1600","0.2281","-0.0004"
"","1.1800","0.2326","-0.0002"
"","1.2000","0.2371","0.0003"
"","1.2200","0.2413","0.0004"
"","1.2400","0.2455","0.0002"
"","1.2600","0.2496","-0.0003"
"","1.2800","0.2537","-0.0005"
"","1.3000","0.2577","-0.0005"
"","1.3200","0.2617","-0.0003"
"","1.3400","0.2657","0.0003"
"","1.3600","0.2699","0.0006"
"","1.3800","0.2742","0.0003"
"","1.4000","0.2786","0.0000"
"","1.4200","0.2829","-0.0003"
"","1.4400","0.2872","-0.0005"
"","1.4600","0.2915","-0.0008"
"","1.4800","0.2958","-0.0003"
"","1.5000","0.3001","0.0001"
"","1.5200","0.3043","0.0004"
"","1.5400","0.3084","0.0001"
"","1.5600","0.3124","-0.0001"
"","1.5800","0.3166","-0.0005"
"","1.6000","0.3209","-0.0005"
"","1.6200","0.3255","-0.0005"
"","1.6400","0.3300","0.0000"
"","1.6600","0.3344","0.0001"
"","1.6800","0.3387","0.0001"
"","1.7000","0.3428","0.0001"
"","1.7200","0.3469","-0.0001"
"","1.7400","0.3509","-0.0002"
"","1.7600","0.3549","-0.0003"
"","1.7800","0.3589","0.0003"
"","1.8000","0.3630","0.0004"
"","1.8200","0.3672","0.0002"
"","1.8400","0.3715","0.0001"
"","1.8600","0.3759","-0.0001"
"","1.8800","0.3803","-0.0002"
"","1.9000","0.3847","-0.0003"
"","1.9200","0.3890","-0.0001"
"","1.9400","0.3933","0.0003"
"","1.9600","0.3975","0.0000"
"","1.9800","0.4016","-0.0003"
"","2.0000","0.4056","-0.0002"
"","2.0200","0.4097","0.0000"
"","2.0400","0.4139","-0.0004"
"","2.0600","0.4183","-0.0006"
"","2.0800","0.4229","0.0002"
"","2.1000","0.4274","0.0006"
"","2.1200","0.4319","0.0005"
"","2.1400","0.4361","0.0001"
"","2.1600","0.4403","-0.0001"
"","2.1800","0.4444","-0.0002"
"","2.2000","0.4484","-0.0004"
"","2.2200","0.4524","0.0000"
"","2.2400","0.4564","0.0002"
"","2.2600","0.4606","0.0002"
"","2.2800","0.4648","0.0001"
"","2.3000","0.4692","-0.0002"
"","2.3200","0.4735","-0.0003"
"","2.3400","0.4778","-0.0006"
"","2.3600","0.4821","-0.0003"
"","2.3800","0.4864","0.0003"
"","2.4000","0.4907","0.0002"
"","2.4200","0.4949","0.0000"
"","2.4400","0.4990","0.0001"
"","2.4600","0.5030","-0.0001"
"","2.4800","0.5070","-0.0003"
"","2.5000","0.5113","0.0022"
"","2.5200","0.5157","0.0095"
"","2.5400","0.5203","0.0193"
"","2.5600","0.5248","0.0299"
"","2.5800","0.5292","0.0407"
"","2.6000","0.5335","0.0514"
"","2.6200","0.5376","0.0619"
"","2.6400","0.5417","0.0726"
"","2.6600","0.5457","0.0839"
"","2.6800","0.5496","0.0953"
"","2.7000","0.5535","0.1062"
"","2.7200","0.5576","0.1173"
"","2.7400","0.5618","0.1288"
"","2.7600","0.5662","0.1409"
"","2.7800","0.5706","0.1532"
"","2.8000","0.5750","0.1660"
"","2.8200","0.5794","0.1797"
"","2.8400","0.5838","0.1927"
"","2.8600","0.5881","0.2048"
"","2.8800","0.5922","0.2171"
"","2.9000","0.5961","0.2285"
"","2.9200","0.6000","0.2396"
"","2.9400","0.6040","0.2513"
"","2.9600","0.6084","0.2643"
"","2.9800","0.6129","0.2779"
"","3.0000","0.6175","0.2919"
"","3.0200","0.6220","0.3049"
"","3.0400","0.6264","0.3177"
"","3.0600","0.6307","0.3305"
"","3.0800","0.6349","0.3430"
"","3.1000","0.6390","0.3558"
"","3.1200","0.6430","0.3685"
"","3.1400","0.6470","0.3806"
"","3.1600","0.6510","0.3925"
"","3.1800","0.6551","0.4049"
"","3.2000","0.6594","0.4183"
"","3.2200","0.6638","0.4318"
"","3.2400","0.6682","0.4450"
"","3.2600","0.6725","0.4589"
"","3.2800","0.6769","0.4725"
"","3.3000","0.6813","0.4858"
"","3.3200","0.6856","0.4990"
"","3.3400","0.6897","0.5116"
"","3.3600","0.6937","0.5240"
"","3.3800","0.6976","0.5361"
"","3.4000","0.7018","0.5493"
"","3.4200","0.7061","0.3509"
"","3.4210","0.7063","0.3351"
82,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","-0.0002"
"","0.0200","0.0000","-0.0001"
"","0.0400","0.0002","-0.0004"
"","0.0600","0.0008","-0.0004"
"","0.0800","0.0027","0.0001"
"","0.1000","0.0057","0.0003"
"","0.1200","0.0075","0.0004"
"","0.1400","0.0089","0.0002"
"","0.1600","0.0115","0.0000"
"","0.1800","0.0161","-0.0003"
"","0.2000","0.0223","-0.0003"
"","0.2200","0.0289","0.0002"
"","0.2400","0.0352","0.0002"
"","0.2600","0.0408","0.0000"
"","0.2800","0.0457","-0.0001"
"","0.3000","0.0499","-0.0004"
"","0.3200","0.0539","-0.0004"
"","0.3400","0.0578","0.0000"
"","0.3600","0.0617","0.0003"
"","0.3800","0.0656","0.0003"
"","0.4000","0.0695","-0.0002"
"","0.4200","0.0736","-0.0004"
"","0.4400","0.0779","-0.0003"
"","0.4600","0.0823","-0.0002"
"","0.4800","0.0868","0.0001"
"","0.5000","0.0912","0.0004"
"","0.5200","0.0956","0.0002"
"","0.5400","0.0998","0.0001"
"","0.5600","0.1041","0.0001"
"","0.5800","0.1082","-0.0002"
"","0.6000","0.1123","-0.0004"
"","0.6200","0.1164","0.0000"
"","0.6400","0.1204","0.0003"
"","0.6600","0.1247","0.0001"
"","0.6800","0.1291","-0.0002"
"","0.7000","0.1336","-0.0005"
"","0.7200","0.1381","-0.0007"
"","0.7400","0.1425","0.0000"
"","0.7600","0.1467","0.0006"
"","0.7800","0.1509","0.0005"
"","0.8000","0.1550","0.0000"
"","0.8200","0.1590","-0.0002"
"","0.8400","0.1630","-0.0001"
"","0.8600","0.1669","0.0000"
"","0.8800","0.1710","0.0006"
"","0.9000","0.1753","0.0007"
"","0.9200","0.1797","0.0004"
"","0.9400","0.1842","0.0000"
"","0.9600","0.1885","-0.0003"
"","0.9800","0.1928","-0.0007"
"","1.0000","0.1970","-0.0004"
"","1.0200","0.2012","0.0003"
"","1.0400","0.2053","0.0005"
"","1.0600","0.2093","0.0001"
"","1.0800","0.2134","-0.0003"
"","1.1000","0.2175","-0.0003"
"","1.1200","0.2218","-0.0003"
"","1.1400","0.2263","-0.0001"
"","1.1600","0.2309","0.0002"
"","1.1800","0.2354","0.0001"
"","1.2000","0.2397","-0.0001"
"","1.2200","0.2439","-0.0002"
"","1.2400","0.2481","-0.0003"
"","1.2600","0.2521","-0.0004"
"","1.2800","0.2562","-0.0001"
"","1.3000","0.2602","0.0002"
"","1.3200","0.2642","0.0002"
"","1.3400","0.2683","-0.0002"
"","1.3600","0.2726","-0.0004"
"","1.3800","0.2769","-0.0005"
"","1.4000","0.2813","-0.0004"
"","1.4200","0.2856","0.0001"
"","1.4400","0.2899","0.0004"
"","1.4600","0.2942","0.0003"
"","1.4800","0.2985","0.0000"
"","1.5000","0.3027","-0.0002"
"","1.5200","0.3068","-0.0003"
"","1.5400","0.3109","0.0002"
"","1.5600","0.3150","0.0003"
"","1.5800","0.3193","0.0001"
"","1.6000","0.3237","-0.0001"
"","1.6200","0.3283","-0.0003"
"","1.6400","0.3327","-0.0003"
"","1.6600","0.3370","-0.0003"
"","1.6800","0.3412","0.0003"
"","1.7000","0.3453","0.0005"
"","1.7200","0.3494","0.0003"
"","1.7400","0.3534","0.0001"
"","1.7600","0.3574","-0.0003"
"","1.7800","0.3614","-0.0003"
"","1.8000","0.3656","-0.0001"
"","1.8200","0.3698","0.0002"
"","1.8400","0.3742","0.0004"
"","1.8600","0.3786","0.0003"
"","1.8800","0.3830","0.0000"
"","1.9000","0.3874","-0.0003"
"","1.9200","0.3917","-0.0006"
"","1.9400","0.3959","-0.0002"
"","1.9600","0.4000","0.0001"
"","1.9800","0.4041","0.0002"
"","2.0000","0.4081","0.0002"
"","2.0200","0.4123","0.0001"
"","2.0400","0.4166","-0.0002"
"","2.0600","0.4211","-0.0003"
"","2.0800","0.4257","0.0002"
"","2.1000","0.4302","0.0005"
"","2.1200","0.4345","0.0002"
"","2.1400","0.4387","-0.0005"
"","2.1600","0.4428","-0.0005"
"","2.1800","0.4469","-0.0003"
"","2.2000","0.4509","-0.0001"
"","2.2200","0.4549","0.0004"
"","2.2400","0.4589","0.0005"
"","2.2600","0.4632","0.0002"
"","2.2800","0.4675","0.0000"
"","2.3000","0.4719","-0.0002"
"","2.3200","0.4762","-0.0005"
"","2.3400","0.4805","-0.0002"
"","2.3600","0.4848","0.0007"
"","2.3800","0.4891","0.0032"
"","2.4000","0.4933","0.0079"
"","2.4200","0.4974","0.0135"
"","2.4400","0.5014","0.0203"
"","2.4600","0.5054","0.0285"
"","2.4800","0.5096","0.0384"
"","2.5000","0.5140","0.0494"
"","2.5200","0.5185","0.0612"
"","2.5400","0.5231","0.0732"
"","2.5600","0.5275","0.0849"
"","2.5800","0.5319","0.0964"
"","2.6000","0.5361","0.1082"
"","2.6200","0.5402","0.1206"
"","2.6400","0.5442","0.1320"
"","2.6600","0.5481","0.1431"
"","2.6800","0.5521","0.1543"
"","2.7000","0.5561","0.1657"
"","2.7200","0.5602","0.1778"
"","2.7400","0.5645","0.1908"
"","2.7600","0.5689","0.2042"
"","2.7800","0.5733","0.2173"
"","2.8000","0.5777","0.2304"
"","2.8200","0.5821","0.2433"
"","2.8400","0.5864","0.2563"
"","2.8600","0.5907","0.2693"
"","2.8800","0.5947","0.2821"
"","2.9000","0.5985","0.2943"
"","2.9200","0.6025","0.3063"
"","2.9400","0.6067","0.3190"
"","2.9600","0.6112","0.3326"
"","2.9800","0.6158","0.3467"
"","3.0000","0.6203","0.3607"
"","3.0200","0.6248","0.3750"
"","3.0400","0.6291","0.3886"
"","3.0600","0.6333","0.4019"
"","3.0800","0.6375","0.4150"
"","3.1000","0.6415","0.4275"
"","3.1200","0.6454","0.4397"
"","3.1400","0.6494","0.4523"
"","3.1600","0.6535","0.4654"
"","3.1800","0.6578","0.4790"
"","3.2000","0.6621","0.4929"
"","3.2200","0.6665","0.5066"
"","3.2400","0.6709","0.5203"
"","3.2600","0.6752","0.5339"
"","3.2800","0.6796","0.5483"
"","3.3000","0.6840","0.5625"
"","3.3200","0.6882","0.5755"
"","3.3400","0.6922","0.5881"
"","3.3600","0.6961","0.6006"
"","3.3800","0.7002","0.6133"
"","3.4000","0.7045","0.6269"
"","3.4200","0.7089","0.6417"
"","3.4400","0.7134","0.6565"
"","3.4600","0.7179","0.6707"
"","3.4800","0.7223","0.6842"
"","3.5000","0.7265","0.6976"
"","3.5200","0.7307","0.7108"
"","3.5400","0.7347","0.7236"
"","3.5600","0.7387","0.7371"
"","3.5800","0.7427","0.7500"
"","3.6000","0.7467","0.7628"
"","3.6200","0.7508","0.7760"
"","3.6400","0.7552","0.7897"
"","3.6600","0.7595","0.8034"
"","3.6800","0.7639","0.8177"
"","3.7000","0.7682","0.8321"
"","3.7200","0.7725","0.8460"
"","3.7400","0.7769","0.8597"
"","3.7600","0.7812","0.8733"
"","3.7800","0.7853","0.8865"
"","3.8000","0.7894","0.8996"
"","3.8200","0.7934","0.9132"
"","3.8400","0.7975","0.9267"
"","3.8600","0.8018","0.9403"
"","3.8800","0.8063","0.9544"
"","3.9000","0.8108","0.9687"
"","3.9200","0.8152","0.9827"
"","3.9400","0.8196","0.9963"
"","3.9600","0.8238","1.0105"
"","3.9800","0.8280","1.0242"
"","4.0000","0.8321","1.0375"
"","4.0200","0.8360","1.0496"
"","4.0400","0.8400","1.0617"
"","4.0600","0.8440","1.0740"
"","4.0800","0.8482","1.0874"
"","4.1000","0.8525","1.1017"
"","4.1200","0.8568","1.1156"
"","4.1400","0.8611","1.1292"
"","4.1600","0.8654","1.0797"
"","4.1660","0.8667","0.9275"
83,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0003"
"","0.0200","0.0000","0.0002"
"","0.0400","0.0002","0.0000"
"","0.0600","0.0008","-0.0002"
"","0.0800","0.0026","-0.0003"
"","0.1000","0.0055","-0.0005"
"","0.1200","0.0073","0.0001"
"","0.1400","0.0087","0.0004"
"","0.1600","0.0114","0.0003"
"","0.1800","0.0163","0.0000"
"","0.2000","0.0225","-0.0002"
"","0.2200","0.0291","-0.0004"
"","0.2400","0.0353","0.0000"
"","0.2600","0.0408","0.0008"
"","0.2800","0.0456","0.0006"
"","0.3000","0.0498","0.0001"
"","0.3200","0.0538","-0.0003"
"","0.3400","0.0577","-0.0005"
"","0.3600","0.0616","-0.0004"
"","0.3800","0.0655","0.0002"
"","0.4000","0.0695","0.0002"
"","0.4200","0.0736","0.0001"
"","0.4400","0.0778","-0.0002"
"","0.4600","0.0823","-0.0004"
"","0.4800","0.0867","-0.0004"
"","0.5000","0.0912","-0.0001"
"","0.5200","0.0955","0.0003"
"","0.5400","0.0998","0.0005"
"","0.5600","0.1040","0.0001"
"","0.5800","0.1082","-0.0001"
"","0.6000","0.1123","-0.0004"
"","0.6200","0.1163","-0.0003"
"","0.6400","0.1204","0.0004"
"","0.6600","0.1246","0.0006"
"","0.6800","0.1290","0.0001"
"","0.7000","0.1336","-0.0002"
"","0.7200","0.1381","-0.0003"
"","0.7400","0.1425","-0.0002"
"","0.7600","0.1467","0.0000"
"","0.7800","0.1508","0.0003"
"","0.8000","0.1549","0.0003"
"","0.8200","0.1589","0.0002"
"","0.8400","0.1629","0.0000"
"","0.8600","0.1669","-0.0004"
"","0.8800","0.1709","-0.0004"
"","0.9000","0.1752","0.0002"
"","0.9200","0.1797","0.0005"
"","0.9400","0.1841","0.0005"
"","0.9600","0.1885","0.0002"
"","0.9800","0.1927","-0.0003"
"","1.0000","0.1970","-0.0006"
"","1.0200","0.2011","-0.0001"
"","1.0400","0.2052","0.0003"
"","1.0600","0.2093","0.0002"
"","1.0800","0.2134","0.0001"
"","1.1000","0.2175","-0.0001"
"","1.1200","0.2218","-0.0007"
"","1.1400","0.2263","-0.0003"
"","1.1600","0.2309","0.0002"
"","1.1800","0.2353","0.0003"
"","1.2000","0.2397","0.0002"
"","1.2200","0.2439","0.0000"
"","1.2400","0.2480","-0.0003"
"","1.2600","0.2521","-0.0005"
"","1.2800","0.2562","0.0001"
"","1.3000","0.2602","0.0005"
"","1.3200","0.2642","0.0002"
"","1.3400","0.2682","-0.0002"
"","1.3600","0.2725","-0.0003"
"","1.3800","0.2768","-0.0004"
"","1.4000","0.2812","-0.0003"
"","1.4200","0.2855","0.0002"
"","1.4400","0.2898","0.0002"
"","1.4600","0.2941","0.0002"
"","1.4800","0.2984","-0.0001"
"","1.5000","0.3026","-0.0005"
"","1.5200","0.3068","-0.0005"
"","1.5400","0.3108","0.0000"
"","1.5600","0.3149","0.0005"
"","1.5800","0.3192","0.0004"
"","1.6000","0.3237","0.0000"
"","1.6200","0.3282","-0.0002"
"","1.6400","0.3326","-0.0005"
"","1.6600","0.3370","-0.0002"
"","1.6800","0.3411","0.0003"
"","1.7000","0.3452","0.0005"
"","1.7200","0.3493","0.0003"
"","1.7400","0.3533","-0.0001"
"","1.7600","0.3573","-0.0002"
"","1.7800","0.3614","-0.0003"
"","1.8000","0.3655","0.0003"
"","1.8200","0.3698","0.0005"
"","1.8400","0.3741","0.0004"
"","1.8600","0.3786","0.0000"
"","1.8800","0.3830","0.0001"
"","1.9000","0.3873","0.0000"
"","1.9200","0.3916","-0.0001"
"","1.9400","0.3959","0.0004"
"","1.9600","0.4000","0.0003"
"","1.9800","0.4040","0.0000"
"","2.0000","0.4081","-0.0004"
"","2.0200","0.4122","-0.0005"
"","2.0400","0.4165","-0.0004"
"","2.0600","0.4210","-0.0002"
"","2.0800","0.4256","0.0003"
"","2.1000","0.4301","0.0002"
"","2.1200","0.4345","0.0001"
"","2.1400","0.4387","-0.0002"
"","2.1600","0.4427","-0.0003"
"","2.1800","0.4468","-0.0002"
"","2.2000","0.4508","0.0003"
"","2.2200","0.4548","0.0004"
"","2.2400","0.4589","0.0001"
"","2.2600","0.4631","0.0000"
"","2.2800","0.4674","-0.0002"
"","2.3000","0.4718","-0.0005"
"","2.3200","0.4761","0.0008"
"","2.3400","0.4804","0.0052"
"","2.3600","0.4847","0.0123"
"","2.3800","0.4890","0.0208"
"","2.4000","0.4933","0.0304"
"","2.4200","0.4974","0.0401"
"","2.4400","0.5014","0.0501"
"","2.4600","0.5054","0.0608"
"","2.4800","0.5095","0.0719"
"","2.5000","0.5139","0.0837"
"","2.5200","0.5185","0.0961"
"","2.5400","0.5230","0.1086"
"","2.5600","0.5275","0.1210"
"","2.5800","0.5318","0.1336"
"","2.6000","0.5360","0.1459"
"","2.6200","0.5401","0.1579"
"","2.6400","0.5442","0.1694"
"","2.6600","0.5481","0.1806"
"","2.6800","0.5520","0.1918"
"","2.7000","0.5560","0.2042"
"","2.7200","0.5602","0.2175"
"","2.7400","0.5645","0.2304"
"","2.7600","0.5689","0.2435"
"","2.7800","0.5733","0.2568"
"","2.8000","0.5777","0.2701"
"","2.8200","0.5820","0.2831"
"","2.8400","0.5864","0.2972"
"","2.8600","0.5906","0.3105"
"","2.8800","0.5946","0.3228"
"","2.9000","0.5985","0.3347"
"","2.9200","0.6025","0.3467"
"","2.9400","0.6067","0.3595"
"","2.9600","0.6112","0.3736"
"","2.9800","0.6158","0.3886"
"","3.0000","0.6203","0.4028"
"","3.0200","0.6247","0.4164"
"","3.0400","0.6290","0.4296"
"","3.0600","0.6333","0.4425"
"","3.0800","0.6374","0.4554"
"","3.1000","0.6415","0.4686"
"","3.1200","0.6454","0.4815"
"","3.1400","0.6494","0.4940"
"","3.1600","0.6534","0.5065"
"","3.1800","0.6577","0.5200"
"","3.2000","0.6621","0.5338"
"","3.2200","0.6665","0.5481"
"","3.2400","0.6708","0.5626"
"","3.2600","0.6752","0.5768"
"","3.2800","0.6796","0.5904"
"","3.3000","0.6839","0.6040"
"","3.3200","0.6881","0.6173"
"","3.3400","0.6921","0.6301"
"","3.3600","0.6961","0.6434"
"","3.3800","0.7001","0.6568"
"","3.4000","0.7044","0.6705"
"","3.4200","0.7088","0.6847"
"","3.4400","0.7134","0.6990"
"","3.4600","0.7178","0.7133"
"","3.4800","0.7222","0.7277"
"","3.5000","0.7265","0.7420"
"","3.5200","0.7307","0.7466"
"","3.5330","0.7333","0.5392"
84,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0000"
"","0.0200","0.0000","-0.0003"
"","0.0400","0.0002","-0.0003"
"","0.0600","0.0008","-0.0001"
"","0.0800","0.0026","0.0003"
"","0.1000","0.0055","0.0002"
"","0.1200","0.0073","0.0001"
"","0.1400","0.0087","0.0000"
"","0.1600","0.0113","-0.0001"
"","0.1800","0.0161","0.0001"
"","0.2000","0.0222","0.0004"
"","0.2200","0.0288","0.0003"
"","0.2400","0.0351","0.0001"
"","0.2600","0.0407","0.0001"
"","0.2800","0.0455","-0.0001"
"","0.3000","0.0497","-0.0003"
"","0.3200","0.0537","0.0000"
"","0.3400","0.0576","0.0003"
"","0.3600","0.0615","0.0002"
"","0.3800","0.0654","0.0003"
"","0.4000","0.0693","0.0000"
"","0.4200","0.0734","-0.0003"
"","0.4400","0.0777","0.0000"
"","0.4600","0.0821","0.0003"
"","0.4800","0.0866","0.0005"
"","0.5000","0.0910","0.0002"
"","0.5200","0.0953","-0.0002"
"","0.5400","0.0996","-0.0006"
"","0.5600","0.1038","-0.0001"
"","0.5800","0.1080","0.0005"
"","0.6000","0.1121","0.0008"
"","0.6200","0.1162","0.0004"
"","0.6400","0.1203","-0.0002"
"","0.6600","0.1245","-0.0005"
"","0.6800","0.1289","-0.0001"
"","0.7000","0.1335","0.0002"
"","0.7200","0.1380","0.0003"
"","0.7400","0.1423","0.0002"
"","0.7600","0.1466","0.0000"
"","0.7800","0.1507","-0.0004"
"","0.8000","0.1548","-0.0002"
"","0.8200","0.1588","0.0003"
"","0.8400","0.1627","0.0004"
"","0.8600","0.1667","0.0003"
"","0.8800","0.1708","-0.0001"
"","0.9000","0.1751","-0.0004"
"","0.9200","0.1795","-0.0005"
"","0.9400","0.1840","0.0001"
"","0.9600","0.1883","0.0003"
"","0.9800","0.1926","0.0003"
"","1.0000","0.1968","0.0001"
"","1.0200","0.2010","0.0000"
"","1.0400","0.2051","-0.0007"
"","1.0600","0.2092","-0.0003"
"","1.0800","0.2132","0.0003"
"","1.1000","0.2173","0.0004"
"","1.1200","0.2217","0.0004"
"","1.1400","0.2262","0.0002"
"","1.1600","0.2307","-0.0002"
