Results Table 1
,Specimen number (included),Specimen label,Diameter,Support span,Maximum Force
,,,(mm),(mm),(N)
"143","143","coated","4.09","50.80","101.55"
"144","144","coated","4.04","50.80","63.72"
"145","145","coated","4.06","50.80","106.02"
"146","146","coated","4.06","50.80","51.42"
"147","147","coated","8.03","50.80","551.14"
"148","148","coated","8.03","50.80","612.05"
"149","149","coated","8.03","50.80","716.80"
"150","150","coated","8.03","50.80","802.63"
"151","151","coated","8.00","50.80","667.11"
"152","152","coated","7.98","50.80","452.85"
"153","153","coated","7.98","50.80","647.20"
"154","154","coated","8.00","50.80","840.81"
"155","155","coated","7.95","50.80","643.52"
"156","156","coated","7.95","50.80","856.92"
"157","157","coated","7.95","50.80","573.15"
"158","158","uncoated","4.09","50.80","58.05"
"159","159","uncoated","4.04","50.80","73.97"
"160","160","uncoated","4.01","50.80","49.05"
"161","161","uncoated","4.11","50.80","87.40"
"162","162","uncoated","3.99","50.80","50.68"
"163","163","uncoated","3.86","50.80","89.22"
"164","164","uncoated","3.84","50.80","37.25"
"165","165","uncoated","3.84","50.80","65.53"
"166","166","uncoated","3.94","50.80","93.79"
"167","167","uncoated","3.99","50.80","68.33"
"168","168","uncoated","8.00","50.80","827.84"
"169","169","uncoated","8.05","50.80","501.04"
"170","170","uncoated","8.03","50.80","661.52"
"171","171","uncoated","7.98","50.80","803.00"
"172","172","uncoated","7.98","50.80","551.20"
"173","173","uncoated","8.00","50.80","643.79"
"174","174","uncoated","7.98","50.80","464.98"
"175","175","uncoated","7.98","50.80","705.29"
"176","176","uncoated","7.98","50.80","619.10"
"177","177","uncoated","7.95","50.80","667.67"
"178","178","uncoated","8.00","50.80","577.20"
"179","179","coated","3.96","50.80","82.33"
"180","180","coated","4.01","50.80","61.60"
"181","181","coated","3.99","50.80","82.64"
"182","182","coated","4.01","50.80","80.34"
"183","183","coated","4.11","50.80","66.81"
"184","184","coated","4.11","50.80","77.05"
"185","185","coated","4.11","50.80","51.93"
"186","186","coated","4.11","50.80","99.42"
"187","187","coated","4.11","50.80","66.62"
"188","188","coated","8.00","50.80","46.06"
"189","189","coated","4.11","50.80","712.12"
"190","190","coated","4.11","50.80","567.60"
"191","191","coated","4.11","50.80","754.45"
"192","192","coated","4.11","50.80","595.54"
"193","193","coated","4.11","50.80","808.37"
"194","194","coated","4.11","50.80","587.80"
"195","195","coated","4.11","50.80","684.61"
"196","196","coated","4.11","50.80","766.97"
"197","197","coated","4.11","50.80","782.24"
"198","198","coated","4.11","50.80","768.77"
"199","199","coated","4.11","50.80","517.31"
"200","200","uncoated","8.00","50.80","890.10"
"201","201","uncoated","8.05","50.80","309.33"
"202","202","uncoated","8.00","50.80","472.77"
"203","203","uncoated","8.00","50.80","641.50"
"204","204","uncoated","8.03","50.80","773.77"
"205","205","uncoated","8.00","50.80","852.40"
"206","206","uncoated","7.98","50.80","435.97"
"207","207","uncoated","8.00","50.80","494.08"
"208","208","uncoated","8.00","50.80","662.00"
"209","209","uncoated","8.03","50.80","692.97"
"210","210","uncoated","7.98","50.80","533.57"
"211","211","uncoated","7.95","50.80","411.38"
"212","212","uncoated","3.91","50.80","100.84"
"213","213","uncoated","3.91","50.80","110.45"
"214","214","uncoated","3.91","50.80","38.14"
"215","215","uncoated","3.91","50.80","154.07"
"216","216","uncoated","3.96","50.80","66.64"
"217","217","uncoated","3.94","50.80","48.11"
"218","218","uncoated","3.94","50.80","70.48"
"219","219","uncoated","3.94","50.80","66.41"
"220","220","uncoated","3.94","50.80","78.05"
"221","221","coated","8.08","50.80","692.29"
"222","222","coated","8.00","50.80","833.31"
"223","223","coated","8.05","50.80","846.51"
"224","224","coated","8.03","50.80","844.00"
"225","225","coated","7.98","50.80","899.67"
"226","226","coated","3.91","50.80","100.02"
"227","227","coated","3.91","50.80","101.70"
"228","228","coated","3.91","50.80","88.40"
"229","229","coated","3.91","50.80","54.89"
"230","230","coated","8.05","50.80","888.77"
"231","231","coated","8.10","50.80","453.55"
"232","232","coated","8.10","50.80","432.99"
"233","233","coated","8.05","50.80","502.44"
"234","234","coated","8.08","50.80","661.85"
"235","235","coated","3.99","50.80","75.49"
"236","236","coated","4.06","50.80","83.41"
"237","237","coated","4.06","50.80","46.41"
"238","238","uncoated","8.03","50.80","642.62"
"239","239","uncoated","7.98","50.80","610.38"
"240","240","uncoated","7.92","50.80","802.60"
"241","241","uncoated","7.87","50.80","372.99"
"242","242","uncoated","7.80","50.80","604.09"
"243","243","uncoated","7.92","50.80","490.86"
"244","244","uncoated","7.95","50.80","465.53"
"245","245","uncoated","7.90","50.80","595.25"
"246","246","uncoated","4.22","50.80","66.88"
"247","247","uncoated","4.22","50.80","54.28"
"248","248","uncoated","4.48","50.80","91.87"
"249","249","uncoated","4.22","50.80","96.57"
"250","250","uncoated","4.22","50.80","86.94"
"251","251","uncoated","4.22","50.80","90.03"
"252","252","uncoated","4.22","50.80","73.52"
"253","253","uncoated","4.22","50.80","83.54"
"254","254","uncoated","4.22","50.80","94.46"
"255","255","uncoated","8.03","50.80","569.42"
"256","256","uncoated","8.03","50.80","681.54"
"257","257","uncoated","8.03","50.80","595.36"
"258","258","uncoated","8.03","50.80","358.05"
"259","259","uncoated","8.03","50.80","489.74"
"260","260","uncoated","8.03","50.80","461.58"
"261","261","coated","8.05","50.80","514.58"
"262","262","coated","7.95","50.80","667.73"
"263","263","coated","7.95","50.80","680.91"
"264","264","coated","7.92","50.80","592.54"
"265","265","coated","7.92","50.80","576.36"
"266","266","coated","7.90","50.80","613.62"
"267","267","coated","7.98","50.80","674.28"
"268","268","coated","4.14","50.80","109.12"
"269","269","coated","3.96","50.80","74.08"
"270","270","coated","4.06","50.80","78.56"
"271","271","coated","4.17","50.80","92.37"
"272","272","coated","4.17","50.80","88.99"
"273","273","coated","3.89","50.80","100.88"
"274","274","coated","3.89","50.80","107.85"
"275","275","coated","3.94","50.80","75.14"
"276","276","coated","3.91","50.80","66.22"
"277","277","coated","8.03","50.80","998.45"
"278","278","coated","8.03","50.80","737.52"
"279","279","coated","8.03","50.80","693.38"
"280","280","coated","8.03","50.80","498.49"
"281","281","coated","8.03","50.80","477.11"
"282","282","coated","8.03","50.80","675.51"
"283","283","uncoated","3.89","50.80","88.04"
"284","284","uncoated","3.84","50.80","97.89"
"285","285","uncoated","3.81","50.80","148.45"
"286","286","uncoated","3.89","50.80","83.56"
"287","287","uncoated","3.86","50.80","75.80"
"288","288","uncoated","4.06","50.80","60.99"
"289","289","uncoated","3.94","50.80","90.16"
"290","290","uncoated","4.04","50.80","110.53"
"291","291","uncoated","3.96","50.80","77.44"
"292","292","uncoated","4.01","50.80","104.88"
"293","293","uncoated","8.03","50.80","469.73"
"294","294","uncoated","8.08","50.80","506.26"
"295","295","uncoated","7.90","50.80","639.96"
"296","296","uncoated","8.03","50.80","559.55"
"297","297","uncoated","7.95","50.80","698.42"
"298","298","uncoated","7.98","50.80","565.85"
"299","299","uncoated","8.00","50.80","362.33"
"300","300","uncoated","7.95","50.80","574.68"
"301","301","uncoated","7.98","50.80","454.39"
"302","302","uncoated","8.00","50.80","768.06"
"303","303","coated","4.01","50.80","128.91"
"304","304","coated","3.91","50.80","108.72"
"305","305","coated","3.89","50.80","100.54"
"306","306","coated","4.01","50.80","97.93"
"307","307","coated","4.06","50.80","82.46"
"308","308","coated","3.96","50.80","107.11"
"309","309","coated","4.09","50.80","106.05"
"310","310","coated","4.01","50.80","140.45"
"311","311","coated","8.05","50.80","934.29"
"312","312","coated","8.05","50.80","462.64"
"313","313","coated","8.05","50.80","592.61"
"314","314","coated","8.08","50.80","624.81"
"315","315","coated","8.08","50.80","578.54"
"316","316","coated","7.87","50.80","927.93"
"317","317","coated","8.05","50.80","602.08"
"318","318","coated","8.00","50.80","552.83"
"319","319","coated","7.98","50.80","479.93"
"320","320","coated","8.00","50.80","698.75"
"321","321","coated","7.98","50.80","783.35"
"322","322","uncoated","3.81","50.80","62.95"
"323","323","uncoated","3.89","50.80","153.60"
"324","324","uncoated","3.81","50.80","78.47"
"325","325","uncoated","3.89","50.80","86.49"
"326","326","uncoated","3.81","50.80","154.50"
"327","327","uncoated","3.86","50.80","131.27"
"328","328","uncoated","4.01","50.80","89.84"
"329","329","uncoated","3.86","50.80","89.13"
"330","330","uncoated","3.94","50.80","102.78"
