Results Table 1
,Specimen label,Thickness,Width,Length,Rate 1
,,(mm),(mm),(mm),(mm/min)
"1","hdpe","3.20","12.73","94.87","25.40"
"2","hdpe5","3.18","12.73","87.86","127.00"
"3","hdpe20","3.18","12.67","91.29","508.00"

Results Table 2


1,Time,Displacement,Force
,(s),(mm),(kN)
"","3.3600","1.3947","0.6291"
"","3.3800","1.4032","0.6311"
"","3.4000","1.4118","0.6334"
"","3.4200","1.4203","0.6354"
"","3.4400","1.4286","0.6375"
"","3.4600","1.4368","0.6396"
"","3.4800","1.4451","0.6416"
"","3.5000","1.4537","0.6438"
"","3.5200","1.4626","0.6461"
"","3.5400","1.4714","0.6483"
"","3.5600","1.4798","0.6501"
"","3.5800","1.4881","0.6520"
"","3.6000","1.4964","0.6537"
"","3.6200","1.5049","0.6558"
"","3.6400","1.5134","0.6579"
"","3.6600","1.5218","0.6598"
"","3.6800","1.5299","0.6614"
"","3.7000","1.5381","0.6632"
"","3.7200","1.5465","0.6653"
"","3.7400","1.5553","0.6675"
"","3.7600","1.5642","0.6695"
"","3.7800","1.5729","0.6715"
"","3.8000","1.5813","0.6735"
"","3.8200","1.5897","0.6753"
"","3.8400","1.5981","0.6773"
"","3.8600","1.6067","0.6791"
"","3.8800","1.6151","0.6809"
"","3.9000","1.6234","0.6826"
"","3.9200","1.6315","0.6843"
"","3.9400","1.6399","0.6858"
"","3.9600","1.6486","0.6879"
"","3.9800","1.6575","0.6900"
"","4.0000","1.6662","0.6919"
"","4.0200","1.6747","0.6936"
"","4.0400","1.6829","0.6954"
"","4.0600","1.6912","0.6970"
"","4.0800","1.6996","0.6988"
"","4.1000","1.7081","0.7005"
"","4.1200","1.7163","0.7021"
"","4.1400","1.7245","0.7037"
"","4.1600","1.7328","0.7052"
"","4.1800","1.7414","0.7071"
"","4.2000","1.7504","0.7091"
"","4.2200","1.7593","0.7112"
"","4.2400","1.7678","0.7129"
"","4.2600","1.7760","0.7144"
"","4.2800","1.7843","0.7159"
"","4.3000","1.7927","0.7177"
"","4.3200","1.8012","0.7191"
"","4.3400","1.8096","0.7207"
"","4.3600","1.8179","0.7223"
"","4.3800","1.8263","0.7241"
"","4.4000","1.8349","0.7258"
"","4.4200","1.8437","0.7275"
"","4.4400","1.8526","0.7294"
"","4.4600","1.8612","0.7309"
"","4.4800","1.8695","0.7326"
"","4.5000","1.8776","0.7337"
"","4.5200","1.8859","0.7352"
"","4.5400","1.8944","0.7369"
"","4.5600","1.9029","0.7386"
"","4.5800","1.9112","0.7399"
"","4.6000","1.9195","0.7416"
"","4.6200","1.9279","0.7433"
"","4.6400","1.9365","0.7448"
"","4.6600","1.9454","0.7465"
"","4.6800","1.9541","0.7481"
"","4.7000","1.9626","0.7495"
"","4.7200","1.9708","0.7508"
"","4.7400","1.9789","0.7524"
"","4.7600","1.9873","0.7536"
"","4.7800","1.9957","0.7552"
"","4.8000","2.0041","0.7566"
"","4.8200","2.0124","0.7583"
"","4.8400","2.0208","0.7596"
"","4.8600","2.0294","0.7612"
"","4.8800","2.0382","0.7627"
"","4.9000","2.0470","0.7645"
"","4.9200","2.0557","0.7660"
"","4.9400","2.0640","0.7674"
"","4.9600","2.0723","0.7684"
"","4.9800","2.0806","0.7698"
"","5.0000","2.0890","0.7713"
"","5.0200","2.0973","0.7725"
"","5.0400","2.1056","0.7739"
"","5.0600","2.1140","0.7753"
"","5.0800","2.1224","0.7769"
"","5.1000","2.1311","0.7784"
"","5.1200","2.1400","0.7802"
"","5.1400","2.1488","0.7817"
"","5.1600","2.1573","0.7832"
"","5.1800","2.1656","0.7843"
"","5.2000","2.1739","0.7857"
"","5.2200","2.1822","0.7869"
"","5.2400","2.1907","0.7881"
"","5.2600","2.1991","0.7895"
"","5.2800","2.2074","0.7907"
"","5.3000","2.2157","0.7922"
"","5.3200","2.2243","0.7935"
"","5.3400","2.2330","0.7952"
"","5.3600","2.2418","0.7964"
"","5.3800","2.2503","0.7977"
"","5.4000","2.2586","0.7988"
"","5.4200","2.2669","0.8000"
"","5.4400","2.2752","0.8012"
"","5.4600","2.2837","0.8028"
"","5.4800","2.2922","0.8039"
"","5.5000","2.3006","0.8051"
"","5.5200","2.3089","0.8063"
"","5.5400","2.3173","0.8077"
"","5.5600","2.3258","0.8092"
"","5.5800","2.3346","0.8106"
"","5.6000","2.3433","0.8120"
"","5.6200","2.3518","0.8130"
"","5.6400","2.3601","0.8142"
"","5.6600","2.3685","0.8153"
"","5.6800","2.3770","0.8168"
"","5.7000","2.3854","0.8180"
"","5.7200","2.3938","0.8194"
"","5.7400","2.4021","0.8204"
"","5.7600","2.4105","0.8212"
"","5.7800","2.4191","0.8224"
"","5.8000","2.4279","0.8241"
"","5.8200","2.4368","0.8256"
"","5.8400","2.4453","0.8268"
"","5.8600","2.4536","0.8279"
"","5.8800","2.4618","0.8288"
"","5.9000","2.4701","0.8300"
"","5.9200","2.4786","0.8310"
"","5.9400","2.4870","0.8323"
"","5.9600","2.4954","0.8332"
"","5.9800","2.5037","0.8344"
"","6.0000","2.5121","0.8356"
"","6.0200","2.5209","0.8371"
"","6.0400","2.5297","0.8384"
"","6.0600","2.5383","0.8395"
"","6.0800","2.5466","0.8405"
"","6.1000","2.5548","0.8415"
"","6.1200","2.5631","0.8425"
"","6.1400","2.5717","0.8437"
"","6.1600","2.5802","0.8448"
"","6.1800","2.5885","0.8459"
"","6.2000","2.5967","0.8472"
"","6.2200","2.6051","0.8482"
"","6.2400","2.6136","0.8494"
"","6.2600","2.6224","0.8505"
"","6.2800","2.6312","0.8520"
"","6.3000","2.6398","0.8530"
"","6.3200","2.6481","0.8541"
"","6.3400","2.6564","0.8550"
"","6.3600","2.6648","0.8560"
"","6.3800","2.6733","0.8571"
"","6.4000","2.6816","0.8581"
"","6.4200","2.6899","0.8590"
"","6.4400","2.6981","0.8600"
"","6.4600","2.7066","0.8613"
"","6.4800","2.7153","0.8626"
"","6.5000","2.7242","0.8639"
"","6.5200","2.7329","0.8649"
"","6.5400","2.7413","0.8660"
"","6.5600","2.7495","0.8667"
"","6.5800","2.7579","0.8676"
"","6.6000","2.7664","0.8686"
