Results Table 1
,Specimen label,Thickness,Width,Length,Rate 1
,,(mm),(mm),(mm),(mm/min)
"1","LDPE 1IN/MIN","3.33","13.26","95.25","25.40"
"2","LDPE 5IN/MIN","3.30","13.00","87.12","127.00"
"3","LDPE 20IN/MIN","3.30","13.00","90.42","508.00"

Results Table 2


1,Time,Displacement,Force
,(s),(mm),(kN)
"","3.3400","1.3879","0.1934"
"","3.3600","1.3961","0.1942"
"","3.3800","1.4046","0.1951"
"","3.4000","1.4132","0.1961"
"","3.4200","1.4217","0.1968"
"","3.4400","1.4299","0.1977"
"","3.4600","1.4381","0.1982"
"","3.4800","1.4465","0.1992"
"","3.5000","1.4552","0.2000"
"","3.5200","1.4641","0.2009"
"","3.5400","1.4729","0.2016"
"","3.5600","1.4813","0.2024"
"","3.5800","1.4895","0.2031"
"","3.6000","1.4979","0.2038"
"","3.6200","1.5063","0.2046"
"","3.6400","1.5149","0.2056"
"","3.6600","1.5232","0.2062"
"","3.6800","1.5314","0.2071"
"","3.7000","1.5395","0.2077"
"","3.7200","1.5480","0.2085"
"","3.7400","1.5569","0.2093"
"","3.7600","1.5658","0.2102"
"","3.7800","1.5744","0.2111"
"","3.8000","1.5828","0.2120"
"","3.8200","1.5911","0.2126"
"","3.8400","1.5996","0.2135"
"","3.8600","1.6081","0.2141"
"","3.8800","1.6165","0.2150"
"","3.9000","1.6247","0.2155"
"","3.9200","1.6330","0.2163"
"","3.9400","1.6414","0.2169"
"","3.9600","1.6501","0.2176"
"","3.9800","1.6590","0.2184"
"","4.0000","1.6677","0.2197"
"","4.0200","1.6760","0.2202"
"","4.0400","1.6842","0.2210"
"","4.0600","1.6925","0.2215"
"","4.0800","1.7011","0.2222"
"","4.1000","1.7095","0.2227"
"","4.1200","1.7178","0.2235"
"","4.1400","1.7260","0.2242"
"","4.1600","1.7343","0.2250"
"","4.1800","1.7430","0.2257"
"","4.2000","1.7519","0.2267"
"","4.2200","1.7607","0.2276"
"","4.2400","1.7692","0.2284"
"","4.2600","1.7774","0.2289"
"","4.2800","1.7857","0.2296"
"","4.3000","1.7942","0.2301"
"","4.3200","1.8027","0.2311"
"","4.3400","1.8111","0.2316"
"","4.3600","1.8194","0.2324"
"","4.3800","1.8278","0.2329"
"","4.4000","1.8364","0.2338"
"","4.4200","1.8452","0.2346"
"","4.4400","1.8541","0.2354"
"","4.4600","1.8627","0.2359"
"","4.4800","1.8709","0.2366"
"","4.5000","1.8791","0.2370"
"","4.5200","1.8874","0.2378"
"","4.5400","1.8959","0.2383"
"","4.5600","1.9044","0.2392"
"","4.5800","1.9127","0.2400"
"","4.6000","1.9210","0.2409"
"","4.6200","1.9294","0.2413"
"","4.6400","1.9381","0.2420"
"","4.6600","1.9469","0.2427"
"","4.6800","1.9556","0.2437"
"","4.7000","1.9640","0.2441"
"","4.7200","1.9722","0.2449"
"","4.7400","1.9804","0.2454"
"","4.7600","1.9888","0.2461"
"","4.7800","1.9972","0.2466"
"","4.8000","2.0055","0.2475"
"","4.8200","2.0138","0.2480"
"","4.8400","2.0222","0.2488"
"","4.8600","2.0308","0.2494"
"","4.8800","2.0397","0.2502"
"","4.9000","2.0485","0.2507"
"","4.9200","2.0571","0.2517"
"","4.9400","2.0655","0.2523"
"","4.9600","2.0737","0.2530"
"","4.9800","2.0820","0.2533"
"","5.0000","2.0904","0.2540"
"","5.0200","2.0988","0.2545"
"","5.0400","2.1071","0.2553"
"","5.0600","2.1155","0.2559"
"","5.0800","2.1239","0.2567"
"","5.1000","2.1326","0.2573"
"","5.1200","2.1415","0.2582"
"","5.1400","2.1503","0.2587"
"","5.1600","2.1587","0.2594"
"","5.1800","2.1670","0.2596"
"","5.2000","2.1752","0.2603"
"","5.2200","2.1836","0.2611"
"","5.2400","2.1921","0.2620"
"","5.2600","2.2005","0.2624"
"","5.2800","2.2088","0.2629"
"","5.3000","2.2172","0.2633"
"","5.3200","2.2258","0.2642"
"","5.3400","2.2346","0.2650"
"","5.3600","2.2433","0.2657"
"","5.3800","2.2518","0.2661"
"","5.4000","2.2600","0.2666"
"","5.4200","2.2682","0.2672"
"","5.4400","2.2766","0.2681"
"","5.4600","2.2851","0.2688"
"","5.4800","2.2936","0.2694"
"","5.5000","2.3020","0.2697"
"","5.5200","2.3103","0.2704"
"","5.5400","2.3187","0.2710"
"","5.5600","2.3273","0.2717"
"","5.5800","2.3361","0.2722"
"","5.6000","2.3448","0.2729"
"","5.6200","2.3532","0.2733"
"","5.6400","2.3615","0.2741"
"","5.6600","2.3699","0.2747"
"","5.6800","2.3784","0.2753"
"","5.7000","2.3869","0.2759"
"","5.7200","2.3953","0.2766"
"","5.7400","2.4035","0.2770"
"","5.7600","2.4119","0.2775"
"","5.7800","2.4205","0.2779"
"","5.8000","2.4294","0.2789"
"","5.8200","2.4382","0.2797"
"","5.8400","2.4467","0.2802"
"","5.8600","2.4550","0.2805"
"","5.8800","2.4632","0.2811"
"","5.9000","2.4716","0.2816"
"","5.9200","2.4801","0.2823"
"","5.9400","2.4886","0.2827"
"","5.9600","2.4969","0.2832"
"","5.9800","2.5052","0.2836"
"","6.0000","2.5136","0.2844"
"","6.0200","2.5224","0.2851"
"","6.0400","2.5311","0.2858"
"","6.0600","2.5397","0.2864"
"","6.0800","2.5480","0.2869"
"","6.1000","2.5562","0.2874"
"","6.1200","2.5646","0.2880"
"","6.1400","2.5731","0.2884"
"","6.1600","2.5816","0.2890"
"","6.1800","2.5900","0.2894"
"","6.2000","2.5982","0.2900"
"","6.2200","2.6066","0.2905"
"","6.2400","2.6152","0.2912"
"","6.2600","2.6240","0.2919"
"","6.2800","2.6327","0.2927"
"","6.3000","2.6412","0.2930"
"","6.3200","2.6495","0.2934"
"","6.3400","2.6578","0.2938"
"","6.3600","2.6663","0.2946"
"","6.3800","2.6748","0.2952"
"","6.4000","2.6831","0.2957"
"","6.4200","2.6913","0.2960"
"","6.4400","2.6995","0.2965"
"","6.4600","2.7080","0.2969"
"","6.4800","2.7168","0.2978"
"","6.5000","2.7257","0.2985"
"","6.5200","2.7343","0.2990"
"","6.5400","2.7427","0.2994"
"","6.5600","2.7510","0.3000"
"","6.5800","2.7594","0.3004"
"","6.6000","2.7679","0.3010"
"","6.6200","2.7764","0.3016"
"","6.6400","2.7847","0.3022"
"","6.6600","2.7929","0.3026"
"","6.6800","2.8013","0.3029"
"","6.7000","2.8099","0.3035"
"","6.7200","2.8189","0.3041"
"","6.7400","2.8277","0.3048"
"","6.7600","2.8362","0.3054"
"","6.7800","2.8444","0.3060"
"","6.8000","2.8527","0.3062"
"","6.8200","2.8611","0.3066"
"","6.8400","2.8695","0.3072"
"","6.8600","2.8778","0.3077"
"","6.8800","2.8860","0.3082"
"","6.9000","2.8943","0.3088"
"","6.9200","2.9027","0.3091"
"","6.9400","2.9114","0.3097"
"","6.9600","2.9202","0.3103"
"","6.9800","2.9289","0.3109"
"","7.0000","2.9373","0.3113"
"","7.0200","2.9457","0.3118"
"","7.0400","2.9542","0.3123"
"","7.0600","2.9627","0.3129"
"","7.0800","2.9711","0.3132"
"","7.1000","2.9793","0.3136"
"","7.1200","2.9876","0.3138"
"","7.1400","2.9961","0.3144"
"","7.1600","3.0049","0.3152"
"","7.1800","3.0139","0.3161"
"","7.2000","3.0226","0.3164"
"","7.2200","3.0310","0.3166"
"","7.2400","3.0392","0.3170"
"","7.2600","3.0474","0.3176"
"","7.2800","3.0558","0.3180"
"","7.3000","3.0642","0.3188"
"","7.3200","3.0726","0.3189"
"","7.3400","3.0809","0.3194"
"","7.3600","3.0893","0.3199"
"","7.3800","3.0979","0.3203"
"","7.4000","3.1068","0.3208"
"","7.4200","3.1156","0.3216"
"","7.4400","3.1241","0.3219"
"","7.4600","3.1323","0.3224"
"","7.4800","3.1404","0.3227"
"","7.5000","3.1487","0.3232"
"","7.5200","3.1571","0.3235"
"","7.5400","3.1655","0.3241"
"","7.5600","3.1739","0.3246"
"","7.5800","3.1822","0.3251"
"","7.6000","3.1908","0.3255"
"","7.6200","3.1996","0.3261"
"","7.6400","3.2085","0.3264"
"","7.6600","3.2172","0.3270"
"","7.6800","3.2255","0.3274"
"","7.7000","3.2336","0.3279"
"","7.7200","3.2419","0.3282"
"","7.7400","3.2503","0.3289"
"","7.7600","3.2587","0.3293"
"","7.7800","3.2671","0.3299"
"","7.8000","3.2755","0.3302"
"","7.8200","3.2839","0.3308"
"","7.8400","3.2926","0.3312"
"","7.8600","3.3014","0.3318"
"","7.8800","3.3102","0.3320"
"","7.9000","3.3187","0.3326"
"","7.9200","3.3269","0.3330"
"","7.9400","3.3351","0.3337"
"","7.9600","3.3436","0.3340"
"","7.9800","3.3521","0.3343"
"","8.0000","3.3606","0.3346"
"","8.0200","3.3689","0.3352"
"","8.0400","3.3772","0.3355"
"","8.0600","3.3857","0.3360"
"","8.0800","3.3945","0.3364"
"","8.1000","3.4033","0.3372"
"","8.1200","3.4118","0.3375"
"","8.1400","3.4201","0.3380"
"","8.1600","3.4283","0.3383"
"","8.1800","3.4367","0.3388"
"","8.2000","3.4452","0.3391"
"","8.2200","3.4536","0.3395"
"","8.2400","3.4620","0.3397"
"","8.2600","3.4702","0.3403"
"","8.2800","3.4786","0.3405"
"","8.3000","3.4873","0.3411"
"","8.3200","3.4961","0.3415"
"","8.3400","3.5049","0.3421"
"","8.3600","3.5133","0.3422"
"","8.3800","3.5214","0.3428"
"","8.4000","3.5297","0.3431"
"","8.4200","3.5381","0.3436"
"","8.4400","3.5467","0.3440"
"","8.4600","3.5552","0.3446"
"","8.4800","3.5635","0.3449"
"","8.5000","3.5719","0.3454"
"","8.5200","3.5804","0.3457"
"","8.5400","3.5892","0.3465"
"","8.5600","3.5981","0.3467"
"","8.5800","3.6066","0.3469"
"","8.6000","3.6148","0.3472"
"","8.6200","3.6231","0.3478"
"","8.6400","3.6316","0.3480"
"","8.6600","3.6401","0.3485"
"","8.6800","3.6485","0.3488"
"","8.7000","3.6569","0.3494"
"","8.7200","3.6651","0.3495"
"","8.7400","3.6735","0.3501"
"","8.7600","3.6821","0.3505"
"","8.7800","3.6909","0.3511"
"","8.8000","3.6996","0.3514"
"","8.8200","3.7080","0.3519"
"","8.8400","3.7163","0.3521"
"","8.8600","3.7246","0.3525"
"","8.8800","3.7331","0.3528"
"","8.9000","3.7415","0.3534"
"","8.9200","3.7499","0.3537"
"","8.9400","3.7581","0.3541"
"","8.9600","3.7664","0.3545"
"","8.9800","3.7750","0.3549"
"","9.0000","3.7838","0.3551"
"","9.0200","3.7926","0.3557"
"","9.0400","3.8011","0.3559"
"","9.0600","3.8094","0.3563"
"","9.0800","3.8177","0.3566"
"","9.1000","3.8261","0.3571"
"","9.1200","3.8346","0.3575"
"","9.1400","3.8430","0.3579"
"","9.1600","3.8513","0.3581"
"","9.1800","3.8596","0.3585"
"","9.2000","3.8681","0.3590"
"","9.2200","3.8768","0.3598"
"","9.2400","3.8857","0.3601"
"","9.2600","3.8944","0.3603"
"","9.2800","3.9028","0.3606"
"","9.3000","3.9111","0.3608"
"","9.3200","3.9194","0.3612"
"","9.3400","3.9279","0.3617"
"","9.3600","3.9364","0.3621"
"","9.3800","3.9448","0.3625"
"","9.4000","3.9530","0.3628"
"","9.4200","3.9613","0.3632"
"","9.4400","3.9699","0.3637"
"","9.4600","3.9787","0.3639"
"","9.4800","3.9875","0.3642"
"","9.5000","3.9959","0.3646"
"","9.5200","4.0042","0.3651"
"","9.5400","4.0125","0.3653"
"","9.5600","4.0209","0.3655"
"","9.5800","4.0294","0.3661"
"","9.6000","4.0378","0.3663"
"","9.6200","4.0460","0.3666"
"","9.6400","4.0541","0.3670"
"","9.6600","4.0625","0.3673"
"","9.6800","4.0713","0.3676"
"","9.7000","4.0803","0.3682"
"","9.7200","4.0890","0.3687"
"","9.7400","4.0974","0.3690"
"","9.7600","4.1057","0.3692"
"","9.7800","4.1140","0.3695"
"","9.8000","4.1224","0.3699"
"","9.8200","4.1309","0.3704"
"","9.8400","4.1392","0.3707"
"","9.8600","4.1475","0.3709"
"","9.8800","4.1560","0.3711"
"","9.9000","4.1647","0.3717"
"","9.9200","4.1736","0.3721"
"","9.9400","4.1825","0.3725"
"","9.9600","4.1910","0.3729"
"","9.9800","4.1992","0.3730"
"","10.0000","4.2075","0.3732"
"","10.0200","4.2159","0.3736"
"","10.0400","4.2243","0.3741"
"","10.0600","4.2327","0.3742"
"","10.0800","4.2410","0.3746"
"","10.1000","4.2493","0.3751"
"","10.1200","4.2579","0.3754"
"","10.1400","4.2666","0.3758"
"","10.1600","4.2753","0.3763"
"","10.1800","4.2838","0.3765"
"","10.2000","4.2920","0.3767"
"","10.2200","4.3003","0.3769"
"","10.2400","4.3087","0.3772"
"","10.2600","4.3172","0.3775"
"","10.2800","4.3256","0.3779"
"","10.3000","4.3339","0.3784"
"","10.3200","4.3422","0.3787"
"","10.3400","4.3506","0.3789"
"","10.3600","4.3594","0.3794"
"","10.3800","4.3683","0.3797"
"","10.4000","4.3771","0.3802"
"","10.4200","4.3855","0.3806"
"","10.4400","4.3937","0.3806"
"","10.4600","4.4019","0.3807"
"","10.4800","4.4103","0.3810"
"","10.5000","4.4187","0.3814"
"","10.5200","4.4270","0.3819"
"","10.5400","4.4353","0.3820"
"","10.5600","4.4436","0.3823"
"","10.5800","4.4523","0.3826"
"","10.6000","4.4612","0.3833"
"","10.6200","4.4701","0.3835"
"","10.6400","4.4787","0.3839"
"","10.6600","4.4870","0.3841"
"","10.6800","4.4952","0.3846"
"","10.7000","4.5035","0.3847"
"","10.7200","4.5120","0.3850"
"","10.7400","4.5205","0.3852"
"","10.7600","4.5288","0.3855"
"","10.7800","4.5372","0.3856"
"","10.8000","4.5457","0.3862"
"","10.8200","4.5544","0.3864"
"","10.8400","4.5632","0.3869"
"","10.8600","4.5718","0.3872"
"","10.8800","4.5801","0.3877"
